FileName,angry,sad,neutral,happy,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
MSP-IMPROV-S01A-F02-R-FF01.wav,0.576667,0.016667,0.39,0.016667,2.666667,2.333333,3.0,02,Female,Train
MSP-IMPROV-S01A-F03-R-FF01.wav,0.816667,0.15,0.016667,0.016667,3.0,1.428571,4.285714,03,Female,Development
MSP-IMPROV-S01A-F05-R-FF01.wav,0.576667,0.203333,0.203333,0.016667,3.6,1.6,3.6,05,Female,Train
MSP-IMPROV-S01A-F06-R-FF01.wav,0.95,0.016667,0.016667,0.016667,3.2,2.0,3.2,06,Female,Train
MSP-IMPROV-S01A-M01-R-MM01.wav,0.95,0.016667,0.016667,0.016667,3.666667,1.666667,3.5,01,Male,Train
MSP-IMPROV-S01A-M02-R-MM01.wav,0.483333,0.016667,0.483333,0.016667,2.0,2.625,3.125,02,Male,Train
MSP-IMPROV-S01A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,3.0,2.0,3.8,03,Male,Development
MSP-IMPROV-S01H-F02-R-FF01.wav,0.016667,0.016667,0.203333,0.763333,3.2,3.8,3.0,02,Female,Train
MSP-IMPROV-S01H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,3.6,3.4,3.4,03,Female,Development
MSP-IMPROV-S01H-F05-R-FF01.wav,0.016667,0.016667,0.016667,0.95,3.285714,4.428571,4.0,05,Female,Train
MSP-IMPROV-S01H-F06-R-FF01.wav,0.016667,0.016667,0.016667,0.95,3.4,4.0,3.2,06,Female,Train
MSP-IMPROV-S01H-M01-R-MM01.wav,0.016667,0.016667,0.016667,0.95,3.0,3.6,3.2,01,Male,Train
MSP-IMPROV-S01H-M02-R-MM01.wav,0.016667,0.016667,0.576667,0.39,2.0,3.2,2.8,02,Male,Train
MSP-IMPROV-S01H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,2.6,4.0,3.2,03,Male,Development
MSP-IMPROV-S01N-F02-R-FF01.wav,0.016667,0.016667,0.95,0.016667,1.857143,3.0,3.0,02,Female,Train
MSP-IMPROV-S01N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,1.833333,3.166667,3.166667,03,Female,Development
MSP-IMPROV-S01N-F05-R-FF01.wav,0.133333,0.133333,0.716667,0.016667,2.375,2.625,2.875,05,Female,Train
MSP-IMPROV-S01N-F05-R-FF02.wav,0.203333,0.016667,0.763333,0.016667,2.6,2.8,2.6,05,Female,Train
MSP-IMPROV-S01N-F06-R-FF01.wav,0.203333,0.016667,0.763333,0.016667,2.2,2.6,3.2,06,Female,Train
MSP-IMPROV-S01N-M01-R-MM01.wav,0.016667,0.016667,0.95,0.016667,1.6,3.0,2.8,01,Male,Train
MSP-IMPROV-S01N-M01-R-MM02.wav,0.25,0.016667,0.716667,0.016667,2.0,2.6,2.8,01,Male,Train
MSP-IMPROV-S01N-M02-R-MM01.wav,0.016667,0.016667,0.95,0.016667,2.0,3.0,2.285714,02,Male,Train
MSP-IMPROV-S01N-M03-R-MM01.wav,0.203333,0.016667,0.763333,0.016667,2.2,2.6,3.0,03,Male,Development
MSP-IMPROV-S01S-F02-R-FF01.wav,0.016667,0.638889,0.327778,0.016667,1.666667,2.333333,2.333333,02,Female,Train
MSP-IMPROV-S01S-F03-R-FF01.wav,0.016667,0.683333,0.283333,0.016667,1.857143,2.142857,2.714286,03,Female,Development
MSP-IMPROV-S01S-F03-R-FF02.wav,0.638889,0.327778,0.016667,0.016667,2.4,2.2,2.8,03,Female,Development
