FileName,frustrated,angry,sad,disgust,excited,fear,neutral,surprise,happy,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
Ses01F_script01_1_M026.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.333333,2.0,3.0,01,Male,Train
Ses01F_impro04_M016.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.00625,2.333333,3.0,2.333333,01,Male,Train
Ses01F_script03_1_F010.wav,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,0.00625,0.635417,3.5,3.5,2.5,01,Female,Train
Ses01F_script03_1_M038.wav,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.320833,0.00625,0.00625,2.5,3.0,2.5,01,Male,Train
Ses01F_script03_2_F029.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.5,2.5,4.0,01,Female,Train
Ses01F_script02_1_M015.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.00625,3.0,3.5,2.5,01,Male,Train
Ses01M_script02_1_M034.wav,0.635417,0.00625,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,2.0,3.0,2.5,01,Male,Train
Ses01F_impro04_F011.wav,0.242188,0.242188,0.00625,0.242188,0.00625,0.00625,0.00625,0.242188,0.00625,3.333333,2.333333,3.333333,01,Female,Train
Ses01F_script02_2_M018.wav,0.00625,0.00625,0.00625,0.00625,0.478125,0.00625,0.478125,0.00625,0.00625,2.5,3.0,3.0,01,Male,Train
Ses01F_script02_2_M034.wav,0.00625,0.478125,0.00625,0.00625,0.00625,0.00625,0.478125,0.00625,0.00625,1.5,2.0,2.0,01,Male,Train
Ses01M_script01_1_F039.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.0,1.666667,4.0,01,Female,Train
Ses01M_script02_1_F020.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,2.5,2.0,2.5,01,Female,Train
Ses01M_impro05_F018.wav,0.00625,0.00625,0.242188,0.00625,0.00625,0.00625,0.714063,0.00625,0.00625,3.0,3.0,3.333333,01,Female,Train
Ses01F_script01_3_M014.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.320833,3.333333,4.333333,2.333333,01,Male,Train
Ses01M_script03_2_M021.wav,0.320833,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,3.0,3.0,3.0,01,Male,Train
Ses01F_script03_1_M015.wav,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.320833,0.00625,0.320833,3.5,3.5,2.5,01,Male,Train
Ses01F_impro07_M015.wav,0.00625,0.00625,0.00625,0.00625,0.478125,0.00625,0.163542,0.00625,0.320833,4.0,4.666667,3.333333,01,Male,Train
Ses01M_impro05_F024.wav,0.00625,0.242188,0.00625,0.00625,0.00625,0.00625,0.714063,0.00625,0.00625,3.0,3.0,3.333333,01,Female,Train
Ses01M_impro01_F022.wav,0.00625,0.76125,0.00625,0.00625,0.195,0.00625,0.00625,0.00625,0.00625,5.0,1.0,5.0,01,Female,Train
Ses01M_script03_1_F020.wav,0.00625,0.00625,0.320833,0.00625,0.320833,0.00625,0.00625,0.00625,0.320833,3.0,4.0,2.0,01,Female,Train
Ses01M_script03_2_M031.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,4.5,2.0,4.5,01,Male,Train
Ses01M_script02_1_F001.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.5,1.5,3.5,01,Female,Train
Ses01F_script03_2_F009.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.0,2.5,3.5,01,Female,Train
Ses01M_script01_3_M035.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,2.5,1.5,1.0,01,Male,Train
Ses01F_script01_2_F013.wav,0.195,0.38375,0.195,0.00625,0.195,0.00625,0.00625,0.00625,0.00625,4.5,1.0,5.0,01,Female,Train
Ses01F_script01_2_M007.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.5,2.5,3.5,01,Male,Train
Ses01M_impro02_M003.wav,0.242188,0.00625,0.714063,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,2.333333,1.666667,2.333333,01,Male,Train
Ses01M_script01_3_M008.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.00625,0.478125,0.00625,0.00625,3.0,3.0,1.5,01,Male,Train
Ses01F_script01_1_F023.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,2.666667,3.333333,2.333333,01,Female,Train
Ses01M_impro01_F012.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.0,2.333333,4.0,01,Female,Train
Ses01F_impro04_F001.wav,0.195,0.00625,0.00625,0.195,0.00625,0.00625,0.5725,0.00625,0.00625,2.666667,2.666667,3.0,01,Female,Train
Ses01M_script02_1_M002.wav,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,5.0,4.5,4.5,01,Male,Train
Ses01M_impro04_M013.wav,0.38375,0.195,0.00625,0.195,0.00625,0.00625,0.00625,0.195,0.00625,3.333333,1.666667,4.0,01,Male,Train
Ses01F_script02_2_M007.wav,0.478125,0.00625,0.242188,0.00625,0.00625,0.00625,0.00625,0.242188,0.00625,3.0,3.0,1.5,01,Male,Train
Ses01F_script03_2_F013.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,3.0,1.5,4.0,01,Female,Train
Ses01F_script01_3_M016.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.242188,0.714063,3.333333,4.0,2.333333,01,Male,Train
Ses01M_script01_1_F012.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,2.333333,2.333333,3.0,01,Female,Train
Ses01M_impro01_M025.wav,0.195,0.76125,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,4.333333,1.333333,4.666667,01,Male,Train
Ses01M_script03_1_F022.wav,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.320833,0.00625,0.320833,2.5,2.5,2.0,01,Female,Train
Ses01F_script01_1_F034.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.00625,2.666667,2.333333,2.333333,01,Female,Train
Ses01F_script01_3_F024.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.320833,0.00625,0.00625,2.333333,2.0,3.0,01,Female,Train
Ses01F_script03_1_M025.wav,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,0.00625,0.635417,3.0,4.0,2.5,01,Male,Train
Ses01M_script02_1_M043.wav,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.320833,0.00625,0.00625,3.5,3.5,4.5,01,Male,Train
Ses01F_impro04_F004.wav,0.195,0.00625,0.00625,0.00625,0.00625,0.00625,0.38375,0.38375,0.00625,2.666667,2.666667,2.333333,01,Female,Train
Ses01M_impro02_M025.wav,0.00625,0.00625,0.714063,0.00625,0.00625,0.00625,0.242188,0.00625,0.00625,2.333333,2.666667,2.666667,01,Male,Train
Ses01M_script02_1_M026.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,2.5,2.0,2.5,01,Male,Train
Ses01F_script01_3_F000.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.320833,1.666667,4.0,2.333333,01,Female,Train
Ses01M_impro03_F001.wav,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,0.478125,0.163542,3.333333,4.0,2.666667,01,Female,Train
Ses01M_script02_2_M014.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,3.0,2.5,3.0,01,Male,Train
