,angry,frustrated,annoyed,disappointed,sad,disgust,depressed,contempt,confused,concerned,fear,neutral,surprise,amused,excited,happy,EmoAct,EmoVal,EmoDom,Split_Set
BIIC-PODCAST_0001_0016_0001.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,2.33,4.0,6.33,Test
BIIC-PODCAST_0001_0031.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,3.0,4.33,3.67,Test
BIIC-PODCAST_0001_0033.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,2.0,5.33,4.0,Test
BIIC-PODCAST_0001_0034_0001.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,2.67,4.0,6.33,Test
BIIC-PODCAST_0001_0037.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,2.33,4.0,6.33,Test
BIIC-PODCAST_0001_0041.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,1.67,5.33,4.0,Test
BIIC-PODCAST_0001_0043.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,2.67,5.0,3.33,Test
BIIC-PODCAST_0001_0045_0001.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,2.33,4.0,6.33,Test
BIIC-PODCAST_0001_0046.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,3.33,4.33,1.67,Test
BIIC-PODCAST_0001_0047.wav,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.95,0.0033333333333333335,0.0033333333333333335,3.0,5.0,3.0,Test
