FileName,depressed,frustrated,angry,sad,disgust,excited,fear,neutral,surprise,happy,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
MSP-IMPROV-S01A-F02-R-FF01.wav,0.005556,0.275397,0.207937,0.005556,0.207937,0.005556,0.005556,0.140476,0.140476,0.005556,2.666667,2.333333,3.0,02,Female,Train
MSP-IMPROV-S01A-F03-R-FF01.wav,0.005556,0.283333,0.338889,0.061111,0.116667,0.061111,0.005556,0.005556,0.116667,0.005556,3.0,1.428571,4.285714,03,Female,Development
MSP-IMPROV-S01A-F05-R-FF01.wav,0.1,0.1,0.477778,0.1,0.1,0.005556,0.005556,0.1,0.005556,0.005556,3.6,1.6,3.6,05,Female,Train
MSP-IMPROV-S01A-F06-R-FF01.wav,0.005556,0.241667,0.32037,0.005556,0.084259,0.084259,0.005556,0.084259,0.162963,0.005556,3.2,2.0,3.2,06,Female,Train
MSP-IMPROV-S01A-M01-R-MM01.wav,0.005556,0.162963,0.477778,0.005556,0.162963,0.084259,0.005556,0.005556,0.084259,0.005556,3.666667,1.666667,3.5,01,Male,Train
MSP-IMPROV-S01A-M02-R-MM01.wav,0.005556,0.275397,0.275397,0.005556,0.073016,0.073016,0.005556,0.275397,0.005556,0.005556,2.0,2.625,3.125,02,Male,Train
MSP-IMPROV-S01A-M03-R-MM01.wav,0.005556,0.32037,0.530247,0.005556,0.005556,0.005556,0.110494,0.005556,0.005556,0.005556,3.0,2.0,3.8,03,Male,Development
MSP-IMPROV-S01H-F02-R-FF01.wav,0.005556,0.091414,0.091414,0.005556,0.005556,0.177273,0.005556,0.091414,0.177273,0.34899,3.2,3.8,3.0,02,Female,Train
MSP-IMPROV-S01H-F03-R-FF01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.383333,0.005556,0.005556,0.1,0.477778,3.6,3.4,3.4,03,Female,Development
MSP-IMPROV-S01H-F05-R-FF01.wav,0.005556,0.005556,0.061111,0.005556,0.005556,0.283333,0.005556,0.005556,0.227778,0.394444,3.285714,4.428571,4.0,05,Female,Train
MSP-IMPROV-S01H-F06-R-FF01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.162963,0.005556,0.005556,0.005556,0.792593,3.4,4.0,3.2,06,Female,Train
MSP-IMPROV-S01H-M01-R-MM01.wav,0.005556,0.110494,0.005556,0.005556,0.005556,0.215432,0.005556,0.005556,0.215432,0.425309,3.0,3.6,3.2,01,Male,Train
MSP-IMPROV-S01H-M02-R-MM01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.140476,0.005556,0.410317,0.140476,0.275397,2.0,3.2,2.8,02,Male,Train
MSP-IMPROV-S01H-M03-R-MM01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.275397,0.005556,0.140476,0.005556,0.545238,2.6,4.0,3.2,03,Male,Development
MSP-IMPROV-S01N-F02-R-FF01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.005556,0.005556,0.95,0.005556,0.005556,1.857143,3.0,3.0,02,Female,Train
MSP-IMPROV-S01N-F03-R-FF01.wav,0.005556,0.005556,0.005556,0.005556,0.005556,0.005556,0.005556,0.815079,0.140476,0.005556,1.833333,3.166667,3.166667,03,Female,Development
MSP-IMPROV-S01N-F05-R-FF01.wav,0.005556,0.150855,0.078205,0.078205,0.078205,0.078205,0.005556,0.441453,0.078205,0.005556,2.375,2.625,2.875,05,Female,Train
MSP-IMPROV-S01N-F05-R-FF02.wav,0.005556,0.110494,0.110494,0.005556,0.005556,0.005556,0.005556,0.425309,0.32037,0.005556,2.6,2.8,2.6,05,Female,Train
MSP-IMPROV-S01N-F06-R-FF01.wav,0.005556,0.288889,0.194444,0.1,0.005556,0.005556,0.005556,0.383333,0.005556,0.005556,2.2,2.6,3.2,06,Female,Train
MSP-IMPROV-S01N-M01-R-MM01.wav,0.123611,0.123611,0.005556,0.005556,0.123611,0.005556,0.005556,0.595833,0.005556,0.005556,1.6,3.0,2.8,01,Male,Train
MSP-IMPROV-S01N-M01-R-MM02.wav,0.005556,0.140476,0.140476,0.140476,0.005556,0.005556,0.005556,0.410317,0.140476,0.005556,2.0,2.6,2.8,01,Male,Train
MSP-IMPROV-S01N-M02-R-MM01.wav,0.005556,0.005556,0.005556,0.123611,0.005556,0.005556,0.005556,0.831944,0.005556,0.005556,2.0,3.0,2.285714,02,Male,Train
MSP-IMPROV-S01N-M03-R-MM01.wav,0.005556,0.275397,0.140476,0.005556,0.005556,0.005556,0.005556,0.545238,0.005556,0.005556,2.2,2.6,3.0,03,Male,Development
MSP-IMPROV-S01S-F02-R-FF01.wav,0.263131,0.005556,0.005556,0.434848,0.005556,0.005556,0.005556,0.263131,0.005556,0.005556,1.666667,2.333333,2.333333,02,Female,Train
MSP-IMPROV-S01S-F03-R-FF01.wav,0.172222,0.227778,0.005556,0.338889,0.005556,0.005556,0.116667,0.116667,0.005556,0.005556,1.857143,2.142857,2.714286,03,Female,Development
MSP-IMPROV-S01S-F03-R-FF02.wav,0.084259,0.241667,0.162963,0.084259,0.162963,0.005556,0.005556,0.162963,0.084259,0.005556,2.4,2.2,2.8,03,Female,Development
MSP-IMPROV-S01S-F05-R-FF01.wav,0.194444,0.1,0.005556,0.383333,0.005556,0.005556,0.1,0.1,0.1,0.005556,2.0,1.6,2.4,05,Female,Train
MSP-IMPROV-S01S-F05-R-FF02.wav,0.172222,0.172222,0.005556,0.394444,0.005556,0.005556,0.116667,0.116667,0.005556,0.005556,1.875,2.125,2.875,05,Female,Train
MSP-IMPROV-S01S-F06-R-FF01.wav,0.223504,0.223504,0.078205,0.296154,0.078205,0.005556,0.005556,0.005556,0.078205,0.005556,2.4,1.4,3.2,06,Female,Train
MSP-IMPROV-S01S-M01-R-MM01.wav,0.005556,0.32037,0.399074,0.005556,0.241667,0.005556,0.005556,0.005556,0.005556,0.005556,3.6,1.6,4.0,01,Male,Train
